route,airline_nm,direct,depart_dt,col_pre_depart_dt,search_dt,col_days_bf_depart,ticket_price,price_on_depart_date,col_saving_rate,col_day_of_week
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-01,-30,520.0,598.0,13.043478260869565,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-01,-30,555.0,530.0,-4.716981132075472,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-02,-29,520.0,598.0,13.043478260869565,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-02,-29,555.0,530.0,-4.716981132075472,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-02,-29,570.0,530.0,-7.547169811320755,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-02,-29,617.0,530.0,-16.41509433962264,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-03,-28,532.0,598.0,11.036789297658864,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-03,-28,596.0,530.0,-12.452830188679247,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-03,-28,661.0,530.0,-24.716981132075475,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-04,-27,532.0,598.0,11.036789297658864,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-04,-27,572.0,530.0,-7.924528301886793,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-04,-27,634.0,530.0,-19.622641509433965,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-05,-26,579.0,598.0,3.177257525083612,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-05,-26,637.0,598.0,-6.521739130434782,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-05,-26,572.0,530.0,-7.924528301886793,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-05,-26,634.0,530.0,-19.622641509433965,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-06,-25,542.0,598.0,9.364548494983278,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-06,-25,554.0,530.0,-4.528301886792454,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-07,-24,543.0,598.0,9.19732441471572,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-07,-24,601.0,598.0,-0.5016722408026756,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-07,-24,555.0,530.0,-4.716981132075472,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-07,-24,617.0,530.0,-16.41509433962264,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-08,-23,579.0,598.0,3.177257525083612,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-08,-23,599.0,598.0,-0.16722408026755853,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-08,-23,571.0,530.0,-7.735849056603774,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-08,-23,633.0,530.0,-19.433962264150946,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-09,-22,579.0,598.0,3.177257525083612,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-09,-22,599.0,598.0,-0.16722408026755853,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-09,-22,571.0,530.0,-7.735849056603774,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-09,-22,633.0,530.0,-19.433962264150946,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-10,-21,542.0,598.0,9.364548494983278,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-10,-21,562.0,598.0,6.020066889632107,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-10,-21,554.0,530.0,-4.528301886792454,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-10,-21,616.0,530.0,-16.226415094339625,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-11,-20,563.0,598.0,5.852842809364549,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-11,-20,583.0,598.0,2.508361204013378,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-11,-20,555.0,530.0,-4.716981132075472,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-11,-20,617.0,530.0,-16.41509433962264,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-12,-19,563.0,598.0,5.852842809364549,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-12,-19,583.0,598.0,2.508361204013378,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-12,-19,567.0,530.0,-6.981132075471699,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-12,-19,626.0,530.0,-18.113207547169814,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-13,-18,543.0,598.0,9.19732441471572,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-13,-18,563.0,598.0,5.852842809364549,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-13,-18,555.0,530.0,-4.716981132075472,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-13,-18,617.0,530.0,-16.41509433962264,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-14,-17,563.0,598.0,5.852842809364549,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-14,-17,560.0,530.0,-5.660377358490567,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-15,-16,542.0,598.0,9.364548494983278,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-15,-16,562.0,598.0,6.020066889632107,Monday
LON-to-HKG,Cathay Pacific,direct, 1/5,2023-05-01,2023-04-15,-16,554.0,530.0,-4.528301886792454,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-16,-15,495.0,598.0,17.224080267558527,Monday
LON-to-HKG,British Airways,direct, 1/5,2023-05-01,2023-04-16,-15,562.0,598.0,6.020066889632107,Monday
