route,airline_nm,direct,depart_dt,col_pre_depart_dt,search_dt,col_days_bf_depart,ticket_price,price_on_depart_date,col_saving_rate,col_day_of_week
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-01,-30,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-01,-30,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-01,-30,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-02,-29,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-02,-29,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-02,-29,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-03,-28,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-03,-28,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-03,-28,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-04,-27,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-04,-27,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-04,-27,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-05,-26,596.0,607.0,1.8121911037891267,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-05,-26,595.0,623.0,4.49438202247191,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-05,-26,634.0,653.0,2.909647779479326,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-06,-25,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-06,-25,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-06,-25,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-07,-24,600.0,607.0,1.1532125205930805,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-07,-24,599.0,623.0,3.8523274478330656,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-07,-24,638.0,653.0,2.2970903522205206,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-08,-23,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-08,-23,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-08,-23,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-09,-22,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-09,-22,625.0,623.0,-0.32102728731942215,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-09,-22,644.0,653.0,1.3782542113323122,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-10,-21,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-10,-21,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-10,-21,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-11,-20,608.0,607.0,-0.16474464579901152,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-11,-20,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-11,-20,652.0,653.0,0.15313935681470137,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-12,-19,685.0,607.0,-12.850082372322898,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-12,-19,599.0,623.0,3.8523274478330656,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-12,-19,638.0,653.0,2.2970903522205206,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-13,-18,600.0,607.0,1.1532125205930805,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-13,-18,599.0,623.0,3.8523274478330656,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-13,-18,638.0,653.0,2.2970903522205206,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-14,-17,600.0,607.0,1.1532125205930805,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-14,-17,599.0,623.0,3.8523274478330656,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-14,-17,638.0,653.0,2.2970903522205206,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-15,-16,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-15,-16,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-15,-16,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-16,-15,599.0,607.0,1.3179571663920921,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-16,-15,598.0,623.0,4.012841091492777,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-16,-15,637.0,653.0,2.450229709035222,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-17,-14,605.0,607.0,0.32948929159802304,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-17,-14,604.0,623.0,3.0497592295345104,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-17,-14,643.0,653.0,1.5313935681470137,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-18,-13,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-18,-13,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-18,-13,656.0,653.0,-0.4594180704441041,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-19,-12,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-19,-12,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-19,-12,655.0,653.0,-0.30627871362940273,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-20,-11,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-20,-11,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-20,-11,653.0,653.0,0.0,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-21,-10,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-21,-10,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-22,-9,606.0,607.0,0.16474464579901152,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-22,-9,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-22,-9,653.0,653.0,0.0,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-23,-8,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-23,-8,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-23,-8,653.0,653.0,0.0,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-24,-7,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-24,-7,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-24,-7,656.0,653.0,-0.4594180704441041,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-25,-6,602.0,607.0,0.8237232289950576,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-25,-6,601.0,623.0,3.5313001605136436,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-25,-6,640.0,653.0,1.9908116385911176,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-26,-5,606.0,607.0,0.16474464579901152,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-26,-5,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-26,-5,655.0,653.0,-0.30627871362940273,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-27,-4,602.0,607.0,0.8237232289950576,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-27,-4,601.0,623.0,3.5313001605136436,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-27,-4,640.0,653.0,1.9908116385911176,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-28,-3,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-28,-3,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-28,-3,656.0,653.0,-0.4594180704441041,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-29,-2,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-29,-2,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-29,-2,648.0,653.0,0.7656967840735068,Monday
LON-to-ICN,Asiana Airlines,direct, 1/5,2023-05-01,2023-04-30,-1,607.0,607.0,0.0,Monday
LON-to-ICN,Korean Air,direct, 1/5,2023-05-01,2023-04-30,-1,620.0,623.0,0.4815409309791332,Monday
LON-to-ICN,Virgin Atlantic,direct, 1/5,2023-05-01,2023-04-30,-1,657.0,653.0,-0.6125574272588055,Monday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-10,-30,607.0,689.0,11.901306240928882,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-10,-30,620.0,713.0,13.043478260869565,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-10,-30,655.0,655.0,0.0,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-11,-29,599.0,689.0,13.062409288824382,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-11,-29,598.0,713.0,16.129032258064516,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-11,-29,637.0,655.0,2.7480916030534353,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-13,-27,599.0,689.0,13.062409288824382,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-13,-27,598.0,713.0,16.129032258064516,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-13,-27,637.0,655.0,2.7480916030534353,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-14,-26,600.0,689.0,12.917271407837445,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-14,-26,599.0,713.0,15.988779803646564,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-14,-26,638.0,655.0,2.595419847328244,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-15,-25,599.0,689.0,13.062409288824382,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-15,-25,598.0,713.0,16.129032258064516,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-15,-25,637.0,655.0,2.7480916030534353,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-16,-24,599.0,689.0,13.062409288824382,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-16,-24,598.0,713.0,16.129032258064516,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-16,-24,637.0,655.0,2.7480916030534353,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-17,-23,607.0,689.0,11.901306240928882,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-17,-23,620.0,713.0,13.043478260869565,Wednesday
LON-to-ICN,Virgin Atlantic,direct, 10/5,2023-05-10,2023-04-17,-23,654.0,655.0,0.15267175572519084,Wednesday
LON-to-ICN,Asiana Airlines,direct, 10/5,2023-05-10,2023-04-18,-22,607.0,689.0,11.901306240928882,Wednesday
LON-to-ICN,Korean Air,direct, 10/5,2023-05-10,2023-04-18,-22,620.0,713.0,13.043478260869565,Wednesday
