route,airline_nm,direct,depart_dt,col_pre_depart_dt,search_dt,col_days_bf_depart,ticket_price,price_on_depart_date,col_saving_rate,col_day_of_week
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-01,-30,526.0,531.0,0.9416195856873822,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-01,-30,385.0,589.0,34.63497453310696,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-01,-30,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-01,-30,532.0,589.0,9.67741935483871,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-02,-29,564.0,531.0,-6.214689265536723,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-02,-29,360.0,589.0,38.87945670628183,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-02,-29,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-03,-28,564.0,531.0,-6.214689265536723,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-03,-28,360.0,589.0,38.87945670628183,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-03,-28,396.0,589.0,32.76740237691001,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-03,-28,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-04,-27,532.0,531.0,-0.18832391713747645,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-04,-27,605.0,531.0,-13.935969868173258,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-04,-27,412.0,589.0,30.050933786078097,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-04,-27,517.0,589.0,12.224108658743633,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-05,-26,528.0,531.0,0.5649717514124294,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-05,-26,382.0,589.0,35.144312393887944,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-05,-26,487.0,589.0,17.31748726655348,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-06,-25,495.0,531.0,6.779661016949152,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-06,-25,385.0,589.0,34.63497453310696,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-06,-25,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-07,-24,520.0,531.0,2.071563088512241,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-07,-24,400.0,589.0,32.088285229202036,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-07,-24,510.0,589.0,13.412563667232597,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-08,-23,502.0,531.0,5.4613935969868175,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-08,-23,385.0,589.0,34.63497453310696,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-08,-23,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-09,-22,401.0,589.0,31.91850594227504,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-09,-22,510.0,589.0,13.412563667232597,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-10,-21,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-11,-20,510.0,589.0,13.412563667232597,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-12,-19,517.0,531.0,2.6365348399246704,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-12,-19,484.0,589.0,17.826825127334466,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-13,-18,496.0,531.0,6.591337099811676,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-13,-18,491.0,589.0,16.6383701188455,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-14,-17,517.0,531.0,2.6365348399246704,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-14,-17,474.0,589.0,19.524617996604412,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-14,-17,614.0,589.0,-4.244482173174872,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-15,-16,495.0,531.0,6.779661016949152,Monday
LON-to-SIN,Singapore Airlines,direct, 1/5,2023-05-01,2023-04-15,-16,490.0,589.0,16.808149405772497,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-16,-15,481.0,531.0,9.416195856873824,Monday
LON-to-SIN,British Airways,direct, 1/5,2023-05-01,2023-04-16,-15,495.0,531.0,6.779661016949152,Monday
