route,airline_nm,direct,depart_dt,col_pre_depart_dt,search_dt,col_days_bf_depart,ticket_price,price_on_depart_date,col_saving_rate,col_day_of_week
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-25,-60,908.0,910.0,0.21978021978021978,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-26,-59,909.0,910.0,0.10989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-27,-58,909.0,910.0,0.10989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-28,-57,908.0,910.0,0.21978021978021978,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-29,-56,906.0,910.0,0.43956043956043955,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-30,-55,909.0,910.0,0.10989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-03-31,-54,909.0,910.0,0.10989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-01,-53,900.0,910.0,1.098901098901099,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-02,-52,909.0,910.0,0.10989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-03,-51,904.0,910.0,0.6593406593406593,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-04,-50,925.0,910.0,-1.6483516483516483,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-05,-49,891.0,910.0,2.087912087912088,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-07,-47,901.0,910.0,0.989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-08,-46,901.0,910.0,0.989010989010989,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-09,-45,900.0,910.0,1.098901098901099,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-13,-41,910.0,910.0,0.0,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-14,-40,893.0,910.0,1.8681318681318682,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-15,-39,910.0,910.0,0.0,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-16,-38,904.0,910.0,0.6593406593406593,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-17,-37,906.0,910.0,0.43956043956043955,Wednesday
LON-to-HND,ANA,direct, 24/5,2023-05-24,2023-04-18,-36,902.0,910.0,0.8791208791208791,Wednesday
